Info,Info,Info,Per Game,Per Game,Per Game,Per Game,Per Game Relative,Per Game Relative,Per Game Relative,Per Game Relative,Home Teams,Home Teams,Home Teams,Home Teams,Home Teams,Visitor Teams,Visitor Teams,Visitor Teams,Visitor Teams,Visitor Teams,Home Minus Visitor,Home Minus Visitor,Home Minus Visitor,Home Minus Visitor,Home Minus Visitor,Relative to Average*,Relative to Average*,Relative to Average*,Relative to Average*,Relative to Average*
Referee,Lg,G,FGA,FTA,PF,PTS,FGA,FTA,PF,PTS,W/L%,FGA,FTA,PF,PTS,W/L%,FGA,FTA,PF,PTS,W/L%,FGA,FTA,PF,PTS,W/L%,FGA,FTA,PF,PTS
Ray Acosta,NBA,65,176.9,45.0,39.4,222.7,+0.7,+1.3,+0.1,+1.5,.446,88.5,22.8,19.6,110.8,.554,88.4,22.1,19.8,111.9,-.108,+0.1,+0.7,-0.2,-1.1,-.197,0.0,+0.6,-0.2,-2.8
Brandon Adair,NBA,59,176.6,41.9,37.7,219.5,+0.4,-1.8,-1.6,-1.7,.593,87.0,22.0,18.3,110.5,.407,89.6,19.9,19.4,109.0,+.186,-2.6,+2.1,-1.0,+1.6,+.097,-2.7,+2.0,-1.0,-0.1
Bennie Adams,NBA,46,174.3,41.9,39.0,218.0,-1.9,-1.8,-0.3,-3.2,.587,86.8,20.8,19.5,110.5,.413,87.4,21.1,19.4,107.5,+.174,-0.6,-0.3,+0.1,+3.0,+.085,-0.7,-0.4,+0.1,+1.3
Clare Aubry,NBA,3,178.3,45.7,42.7,233.7,+2.1,+2.0,+3.4,+12.5,.000,87.7,22.3,23.7,109.7,1.000,90.7,23.3,19.0,124.0,-1.000,-3.0,-1.0,+4.7,-14.3,-1.089,-3.1,-1.1,+4.7,-16.0
Brent Barnaky,NBA,64,178.9,41.8,37.6,220.8,+2.7,-1.9,-1.7,-0.4,.469,90.0,20.5,19.6,111.0,.531,88.9,21.3,18.0,109.8,-.063,+1.1,-0.8,+1.5,+1.2,-.152,+1.0,-0.9,+1.5,-0.5
Isaac Barnett,NBA,1,168.0,57.0,39.0,250.0,-8.2,+13.3,-0.3,+28.8,.000,82.0,28.0,19.0,121.0,1.000,86.0,29.0,20.0,129.0,-1.000,-4.0,-1.0,-1.0,-8.0,-1.089,-4.1,-1.1,-1.0,-9.7
Curtis Blair,NBA,61,176.2,41.2,38.7,217.5,0.0,-2.5,-0.6,-3.7,.574,88.2,20.8,19.1,109.8,.426,88.0,20.4,19.6,107.7,+.148,+0.1,+0.4,-0.5,+2.1,+.059,0.0,+0.3,-0.5,+0.4
Matt Boland,NBA,55,179.2,40.6,38.7,218.3,+3.0,-3.1,-0.6,-2.9,.509,90.1,19.9,19.7,109.9,.491,89.2,20.8,19.0,108.4,+.018,+0.9,-0.9,+0.7,+1.4,-.071,+0.8,-1.0,+0.7,-0.3
Tony Brothers,NBA,60,174.8,46.2,40.6,222.2,-1.4,+2.5,+1.3,+1.0,.550,87.9,23.5,20.2,112.1,.450,86.9,22.7,20.5,110.1,+.100,+1.0,+0.9,-0.3,+2.0,+.011,+0.9,+0.8,-0.3,+0.3
Nick Buchert,NBA,64,176.3,41.9,37.5,217.9,+0.1,-1.8,-1.8,-3.3,.547,87.4,20.5,18.8,109.4,.453,88.9,21.3,18.7,108.5,+.094,-1.5,-0.8,+0.1,+0.8,+.005,-1.6,-0.9,+0.1,-0.9
Blanca Burns,NBA,8,179.4,45.8,41.1,223.1,+3.2,+2.1,+1.8,+1.9,.250,92.0,23.0,20.4,107.6,.750,87.4,22.8,20.8,115.5,-.500,+4.6,+0.3,-0.4,-7.9,-.589,+4.5,+0.2,-0.4,-9.6
John Butler,NBA,45,176.9,45.0,39.7,222.0,+0.7,+1.3,+0.4,+0.8,.511,87.7,22.3,20.0,110.6,.489,89.2,22.7,19.6,111.4,+.022,-1.5,-0.4,+0.4,-0.8,-.067,-1.6,-0.5,+0.4,-2.5
James Capers,NBA,50,177.7,44.4,39.7,219.1,+1.5,+0.7,+0.4,-2.1,.660,88.8,22.2,20.0,112.4,.340,88.9,22.3,19.7,106.6,+.320,-0.2,-0.1,+0.3,+5.8,+.231,-0.3,-0.2,+0.3,+4.1
Derrick Collins,NBA,58,177.1,41.9,38.8,222.4,+0.9,-1.8,-0.5,+1.2,.552,88.4,20.9,19.5,112.1,.448,88.7,21.1,19.3,110.2,+.103,-0.3,-0.2,+0.2,+1.9,+.014,-0.4,-0.3,+0.2,+0.2
John Conley,NBA,29,178.2,42.0,39.3,220.6,+2.0,-1.7,0.0,-0.6,.621,91.2,20.0,20.3,112.5,.379,87.0,22.0,19.0,108.1,+.241,+4.2,-2.0,+1.3,+4.4,+.152,+4.1,-2.1,+1.3,+2.7
Sean Corbin,NBA,29,176.3,40.3,38.1,214.0,+0.1,-3.4,-1.2,-7.2,.483,89.3,21.2,19.1,107.4,.517,87.0,19.1,19.0,106.6,-.034,+2.3,+2.2,+0.1,+0.8,-.123,+2.2,+2.1,+0.1,-0.9
Kevin Cutler,NBA,61,177.0,41.1,38.3,221.9,+0.8,-2.6,-1.0,+0.7,.541,88.1,21.4,18.7,112.4,.459,88.9,19.7,19.5,109.5,+.082,-0.8,+1.8,-0.8,+2.9,-.007,-0.9,+1.7,-0.8,+1.2
Mousa Dagher,NBA,44,177.5,46.6,41.8,223.6,+1.3,+2.9,+2.5,+2.4,.591,89.2,23.1,21.0,113.5,.409,88.3,23.5,20.8,110.2,+.182,+1.0,-0.4,+0.2,+3.3,+.093,+0.9,-0.5,+0.2,+1.6
Eric Dalen,NBA,45,178.2,41.0,36.2,221.0,+2.0,-2.7,-3.1,-0.2,.556,89.2,20.9,17.8,111.7,.444,89.0,20.1,18.4,109.3,+.111,+0.2,+0.8,-0.6,+2.4,+.022,+0.1,+0.7,-0.6,+0.7
Marc Davis,NBA,56,176.3,41.3,36.8,221.8,+0.1,-2.4,-2.5,+0.6,.554,88.2,21.5,18.1,111.2,.446,88.1,19.9,18.6,110.6,+.107,0.0,+1.6,-0.5,+0.7,+.018,-0.1,+1.5,-0.5,-1.0
JB DeRosa,NBA,64,177.8,44.3,39.3,223.9,+1.6,+0.6,0.0,+2.7,.609,89.0,21.9,19.7,112.7,.391,88.8,22.4,19.6,111.2,+.219,+0.2,-0.5,+0.2,+1.4,+.130,+0.1,-0.6,+0.2,-0.3
Mitchell Ervin,NBA,64,175.5,44.6,40.7,224.0,-0.7,+0.9,+1.4,+2.8,.484,88.6,22.4,20.4,111.8,.516,86.9,22.2,20.3,112.3,-.031,+1.8,+0.3,+0.1,-0.5,-.120,+1.7,+0.2,+0.1,-2.2
Kane Fitzgerald,NBA,48,175.8,44.8,39.5,222.9,-0.4,+1.1,+0.2,+1.7,.771,87.5,22.9,20.0,115.7,.229,88.3,22.0,19.5,107.2,+.542,-0.9,+0.9,+0.6,+8.5,+.453,-1.0,+0.8,+0.6,+6.8
Che Flores,NBA,12,174.8,52.3,42.8,226.8,-1.4,+8.6,+3.5,+5.6,.250,86.4,24.9,23.1,110.7,.750,88.4,27.4,19.7,116.1,-.500,-2.0,-2.5,+3.4,-5.4,-.589,-2.1,-2.6,+3.4,-7.1
Tyler Ford,NBA,67,175.2,48.1,41.2,223.9,-1.0,+4.4,+1.9,+2.7,.552,87.3,24.6,20.1,113.3,.448,87.9,23.4,21.1,110.5,+.104,-0.6,+1.2,-0.9,+2.8,+.015,-0.7,+1.1,-0.9,+1.1
Brian Forte,NBA,61,177.3,42.4,39.3,221.0,+1.1,-1.3,0.0,-0.2,.459,88.3,20.6,19.8,110.0,.541,88.9,21.8,19.5,111.0,-.082,-0.6,-1.2,+0.3,-1.0,-.171,-0.7,-1.3,+0.3,-2.7
Scott Foster,NBA,43,175.7,42.9,38.7,219.7,-0.5,-0.8,-0.6,-1.5,.581,88.5,20.5,19.7,110.7,.419,87.1,22.4,19.0,109.0,+.163,+1.4,-1.9,+0.8,+1.7,+.074,+1.3,-2.0,+0.8,0.0
Pat Fraher,NBA,60,175.8,40.6,36.5,217.5,-0.4,-3.1,-2.8,-3.7,.533,87.9,20.9,17.7,109.0,.467,87.9,19.7,18.8,108.6,+.067,0.0,+1.2,-1.0,+0.4,-.022,-0.1,+1.1,-1.0,-1.3
Jacyn Goble,NBA,64,172.4,46.6,40.7,223.4,-3.8,+2.9,+1.4,+2.2,.500,86.4,23.0,20.5,112.4,.500,86.0,23.5,20.2,111.0,.000,+0.3,-0.5,+0.4,+1.4,-.089,+0.2,-0.6,+0.4,-0.3
John Goble,NBA,46,176.9,42.6,37.9,219.6,+0.7,-1.1,-1.4,-1.6,.500,88.2,21.1,19.2,110.7,.500,88.7,21.5,18.7,108.9,.000,-0.5,-0.4,+0.4,+1.8,-.089,-0.6,-0.5,+0.4,+0.1
Jason Goldenberg,NBA,41,171.4,46.9,41.9,220.8,-4.8,+3.2,+2.6,-0.4,.659,85.5,24.0,20.6,112.3,.341,85.9,22.8,21.2,108.4,+.317,-0.4,+1.2,-0.6,+3.9,+.228,-0.5,+1.1,-0.6,+2.2
Nate Green,NBA,28,177.1,41.7,38.1,218.8,+0.9,-2.0,-1.2,-2.4,.536,88.5,20.8,18.6,109.9,.464,88.6,21.0,19.4,108.9,+.071,-0.1,-0.2,-0.8,+1.0,-.018,-0.2,-0.3,-0.8,-0.7
David Guthrie,NBA,58,176.9,45.1,40.1,226.4,+0.7,+1.4,+0.8,+5.2,.500,88.9,23.1,19.8,112.6,.500,87.9,22.0,20.3,113.7,.000,+1.0,+1.1,-0.4,-1.1,-.089,+0.9,+1.0,-0.4,-2.8
