Info,Info,Info,Per Game,Per Game,Per Game,Per Game,Per Game Relative,Per Game Relative,Per Game Relative,Per Game Relative,Home Teams,Home Teams,Home Teams,Home Teams,Home Teams,Visitor Teams,Visitor Teams,Visitor Teams,Visitor Teams,Visitor Teams,Home Minus Visitor,Home Minus Visitor,Home Minus Visitor,Home Minus Visitor,Home Minus Visitor,Relative to Average*,Relative to Average*,Relative to Average*,Relative to Average*,Relative to Average*
Referee,Lg,G,FGA,FTA,PF,PTS,FGA,FTA,PF,PTS,W/L%,FGA,FTA,PF,PTS,W/L%,FGA,FTA,PF,PTS,W/L%,FGA,FTA,PF,PTS,W/L%,FGA,FTA,PF,PTS
Scott Foster,NBA,14,176.9,45,37.8,230.4,-0.5,0.6,-1.1,4.6,0.5,88.7,22.8,17.9,113.6,0.5,88.1,22.2,19.9,116.7,0,0.6,0.6,-2.1,-3.1,-0.147,0.8,0.5,-2,-5
Pat Fraher,NBA,14,172.7,48.1,39.2,223,-4.7,3.7,0.3,-2.8,0.429,86.6,24.2,19.7,111.7,0.571,86.1,23.9,19.5,111.3,-0.143,0.6,0.3,0.2,0.4,-0.29,0.8,0.2,0.3,-1.5
Jacyn Goble,NBA,14,176.2,41.9,36.1,223.4,-1.2,-2.5,-2.8,-2.4,0.643,89,21.7,18,114.6,0.357,87.2,20.1,18.1,108.8,0.286,1.8,1.6,-0.1,5.9,0.139,2,1.5,0,4
John Goble,NBA,15,178.8,43.1,39.2,226.1,1.4,-1.3,0.3,0.3,0.533,87.4,24.1,18.4,113.3,0.467,91.4,19,20.8,112.8,0.067,-4,5.1,-2.4,0.5,-0.08,-3.8,5,-2.3,-1.4
Jason Goldenberg,NBA,12,170.6,48.1,40.8,229,-6.8,3.7,1.9,3.2,0.667,87.8,22.7,21,116,0.333,82.8,25.4,19.8,113,0.333,4.9,-2.8,1.3,3,0.186,5.1,-2.9,1.4,1.1
Nate Green,NBA,10,177.8,50.2,42.6,226.1,0.4,5.8,3.7,0.3,0.7,88.6,25.4,21.3,114.6,0.3,89.2,24.8,21.3,111.5,0.4,-0.6,0.6,0,3.1,0.253,-0.4,0.5,0.1,1.2
David Guthrie,NBA,2,180,71.5,54.5,236,2.6,27.1,15.6,10.2,1,89,41,26,124,0,91,30.5,28.5,112,1,-2,10.5,-2.5,12,0.853,-1.8,10.4,-2.4,10.1
Brent Haskill,NBA,3,173,39.7,40,220,-4.4,-4.7,1.1,-5.8,0.333,84,19.7,20.3,107.3,0.667,89,20,19.7,112.7,-0.333,-5,-0.3,0.7,-5.3,-0.48,-4.8,-0.4,0.8,-7.2
Robert Hussey,NBA,10,184.9,45.7,40.9,236.4,7.5,1.3,2,10.6,0.5,91.1,22,21.8,120.2,0.5,93.8,23.7,19.1,116.2,0,-2.7,-1.7,2.7,4,-0.147,-2.5,-1.8,2.8,2.1
Intae Hwang,NBA,9,182.7,44.7,38.7,233.1,5.3,0.3,-0.2,7.3,0.333,92.8,22.3,18.9,116.6,0.667,89.9,22.3,19.8,116.6,-0.333,2.9,0,-0.9,0,-0.48,3.1,-0.1,-0.8,-1.9
Simone Jelks,NBA,10,183.6,45.3,38.8,241.9,6.2,0.9,-0.1,16.1,0.6,93.4,23.2,19.6,123.9,0.4,90.2,22.1,19.2,118,0.2,3.2,1.1,0.4,5.9,0.053,3.4,1,0.5,4
Matt Kallio,NBA,10,172.2,47.4,40.4,221.4,-5.2,3,1.5,-4.4,0.5,88.6,21.7,21.2,114.4,0.5,83.6,25.7,19.2,107,0,5,-4,2,7.4,-0.147,5.2,-4.1,2.1,5.5
Bill Kennedy,NBA,15,183.1,43.5,38.3,225,5.7,-0.9,-0.6,-0.8,0.667,92.3,19.7,20.1,116.7,0.333,90.8,23.9,18.2,108.3,0.333,1.5,-4.2,1.9,8.3,0.186,1.7,-4.3,2,6.4
Courtney Kirkland,NBA,14,175.1,46.6,42.1,225.1,-2.3,2.2,3.2,-0.7,0.429,84.1,26.6,19.9,111.4,0.571,90.9,20,22.3,113.7,-0.143,-6.8,6.6,-2.4,-2.4,-0.29,-6.6,6.5,-2.3,-4.3
Marat Kogut,NBA,16,179.7,44.4,39.9,226,2.3,0,1,0.2,0.563,90.2,21.6,20.1,111.3,0.438,89.5,22.9,19.8,114.8,0.125,0.7,-1.3,0.3,-3.5,-0.022,0.9,-1.4,0.4,-5.4
Karl Lane,NBA,14,175.4,44.1,39,220.6,-2,-0.3,0.1,-5.2,0.643,89,21.6,20.1,111.7,0.357,86.4,22.6,18.9,108.9,0.286,2.6,-1,1.3,2.9,0.139,2.8,-1.1,1.4,1
