Info,Info,Info,Per Game,Per Game,Per Game,Per Game,Per Game Relative,Per Game Relative,Per Game Relative,Per Game Relative,Home Teams,Home Teams,Home Teams,Home Teams,Home Teams,Visitor Teams,Visitor Teams,Visitor Teams,Visitor Teams,Visitor Teams,Home Minus Visitor,Home Minus Visitor,Home Minus Visitor,Home Minus Visitor,Home Minus Visitor,Relative to Average*,Relative to Average*,Relative to Average*,Relative to Average*,Relative to Average*
Referee,Lg,G,FGA,FTA,PF,PTS,FGA,FTA,PF,PTS,W/L%,FGA,FTA,PF,PTS,W/L%,FGA,FTA,PF,PTS,W/L%,FGA,FTA,PF,PTS,W/L%,FGA,FTA,PF,PTS
Ray Acosta,NBA,66,179.3,42.8,36.4,226.6,+1.5,-0.6,-1.1,-1.8,.515,89.5,21.5,18.4,114.6,.485,89.8,21.3,18.0,112.0,+.030,-0.3,+0.3,+0.4,+2.5,-.056,-0.2,-0.1,+0.6,+0.4
Brandon Adair,NBA,45,177.0,41.1,36.3,221.7,-0.8,-2.3,-1.2,-6.7,.578,87.8,20.6,18.2,111.6,.422,89.2,20.5,18.2,110.1,+.156,-1.4,+0.1,0.0,+1.5,+.070,-1.3,-0.3,+0.2,-0.6
Clare Aubry,NBA,3,185.3,37.0,37.0,222.0,+7.5,-6.4,-0.5,-6.4,1.000,97.3,18.3,16.3,115.7,.000,88.0,18.7,20.7,106.3,+1.000,+9.3,-0.3,-4.3,+9.3,+.914,+9.4,-0.7,-4.1,+7.2
Brent Barnaky,NBA,62,176.9,42.8,36.9,226.9,-0.9,-0.6,-0.6,-1.5,.532,88.7,21.7,18.2,114.1,.468,88.2,21.1,18.7,112.8,+.065,+0.5,+0.6,-0.5,+1.3,-.021,+0.6,+0.2,-0.3,-0.8
Curtis Blair,NBA,63,179.7,43.8,38.6,228.2,+1.9,+0.4,+1.1,-0.2,.540,89.2,22.7,18.8,115.2,.460,90.5,21.1,19.8,113.0,+.079,-1.3,+1.6,-1.0,+2.1,-.007,-1.2,+1.2,-0.8,0.0
Matt Boland,NBA,34,176.3,44.9,37.6,226.8,-1.5,+1.5,+0.1,-1.6,.588,90.5,21.6,19.2,114.6,.412,85.8,23.2,18.5,112.1,+.176,+4.7,-1.6,+0.7,+2.5,+.090,+4.8,-2.0,+0.9,+0.4
Tony Brothers,NBA,60,175.7,42.7,37.2,227.2,-2.1,-0.7,-0.3,-1.2,.550,87.3,21.9,18.8,114.5,.450,88.4,20.9,18.4,112.7,+.100,-1.1,+1.0,+0.4,+1.8,+.014,-1.0,+0.6,+0.6,-0.3
Nick Buchert,NBA,60,177.7,43.4,37.3,232.9,-0.1,0.0,-0.2,+4.5,.483,87.9,21.9,18.7,117.8,.517,89.8,21.6,18.6,115.1,-.033,-1.9,+0.3,0.0,+2.7,-.119,-1.8,-0.1,+0.2,+0.6
John Butler,NBA,55,178.4,43.5,36.9,230.4,+0.6,+0.1,-0.6,+2.0,.564,89.5,22.0,18.7,116.8,.436,88.9,21.4,18.3,113.6,+.127,+0.5,+0.6,+0.4,+3.1,+.041,+0.6,+0.2,+0.6,+1.0
James Capers,NBA,48,176.7,42.6,37.3,225.2,-1.1,-0.8,-0.2,-3.2,.500,89.6,21.5,18.4,113.3,.500,87.1,21.1,18.9,111.9,.000,+2.6,+0.4,-0.5,+1.4,-.086,+2.7,0.0,-0.3,-0.7
Derrick Collins,NBA,47,177.8,42.2,36.1,228.8,0.0,-1.2,-1.4,+0.4,.617,88.2,21.4,17.9,117.0,.383,89.6,20.8,18.2,111.7,+.234,-1.3,+0.6,-0.4,+5.3,+.148,-1.2,+0.2,-0.2,+3.2
John Conley,NBA,36,177.0,43.3,38.1,225.9,-0.8,-0.1,+0.6,-2.5,.500,87.0,22.5,18.9,113.0,.500,90.0,20.8,19.2,112.8,.000,-3.0,+1.8,-0.3,+0.2,-.086,-2.9,+1.4,-0.1,-1.9
Sean Corbin,NBA,56,179.3,41.9,36.6,230.5,+1.5,-1.5,-0.9,+2.1,.446,90.3,20.8,17.9,115.1,.554,89.0,21.1,18.6,115.3,-.107,+1.3,-0.2,-0.7,-0.2,-.193,+1.4,-0.6,-0.5,-2.3
Kevin Cutler,NBA,53,177.6,44.3,38.1,229.2,-0.2,+0.9,+0.6,+0.8,.547,88.9,22.8,18.5,115.4,.453,88.8,21.5,19.6,113.8,+.094,+0.1,+1.3,-1.2,+1.5,+.008,+0.2,+0.9,-1.0,-0.6
Mousa Dagher,NBA,46,177.3,42.5,37.5,227.5,-0.5,-0.9,0.0,-0.9,.500,89.3,21.3,18.8,114.2,.500,88.0,21.2,18.7,113.3,.000,+1.3,+0.1,+0.2,+0.9,-.086,+1.4,-0.3,+0.4,-1.2
Eric Dalen,NBA,59,177.7,44.3,37.9,228.9,-0.1,+0.9,+0.4,+0.5,.610,88.9,22.2,18.7,116.1,.390,88.7,22.1,19.2,112.8,+.220,+0.2,+0.1,-0.5,+3.3,+.134,+0.3,-0.3,-0.3,+1.2
Marc Davis,NBA,61,179.3,39.0,34.2,229.2,+1.5,-4.4,-3.3,+0.8,.557,88.5,20.1,16.8,115.8,.443,90.7,18.9,17.5,113.5,+.115,-2.2,+1.3,-0.7,+2.3,+.029,-2.1,+0.9,-0.5,+0.2
JB DeRosa,NBA,64,175.8,43.7,37.4,225.4,-2.0,+0.3,-0.1,-3.0,.547,88.6,21.8,18.6,114.3,.453,87.2,21.9,18.8,111.1,+.094,+1.4,-0.2,-0.2,+3.2,+.008,+1.5,-0.6,0.0,+1.1
