Info,Info,Info,Per Game,Per Game,Per Game,Per Game,Per Game Relative,Per Game Relative,Per Game Relative,Per Game Relative,Home Teams,Home Teams,Home Teams,Home Teams,Home Teams,Visitor Teams,Visitor Teams,Visitor Teams,Visitor Teams,Visitor Teams,Home Minus Visitor,Home Minus Visitor,Home Minus Visitor,Home Minus Visitor,Home Minus Visitor,Relative to Average*,Relative to Average*,Relative to Average*,Relative to Average*,Relative to Average*
Referee,Lg,G,FGA,FTA,PF,PTS,FGA,FTA,PF,PTS,W/L%,FGA,FTA,PF,PTS,W/L%,FGA,FTA,PF,PTS,W/L%,FGA,FTA,PF,PTS,W/L%,FGA,FTA,PF,PTS
Ray Acosta,NBA,64,174.3,46.5,39.3,225.0,-2.3,-0.6,-0.7,-4.4,.594,88.2,23.3,19.0,113.6,.406,86.1,23.3,20.3,111.5,+.188,+2.1,0.0,-1.3,+2.1,+.027,+2.1,-0.6,-1.0,-0.4
Brandon Adair,NBA,51,178.4,44.2,36.9,226.5,+1.8,-2.9,-3.1,-2.9,.569,89.6,21.8,18.5,114.2,.431,88.8,22.4,18.3,112.3,+.137,+0.7,-0.6,+0.2,+2.0,-.024,+0.7,-1.2,+0.5,-0.5
Brent Barnaky,NBA,63,176.7,44.7,39.3,227.7,+0.1,-2.4,-0.7,-1.7,.667,88.0,23.1,18.8,115.7,.333,88.7,21.6,20.5,112.0,+.333,-0.7,+1.5,-1.7,+3.7,+.172,-0.7,+0.9,-1.4,+1.2
Curtis Blair,NBA,63,175.7,45.8,39.8,229.7,-0.9,-1.3,-0.2,+0.3,.571,88.2,22.8,20.1,116.4,.429,87.4,23.0,19.8,113.3,+.143,+0.8,-0.2,+0.3,+3.2,-.018,+0.8,-0.8,+0.6,+0.7
Matt Boland,NBA,53,178.5,48.3,41.7,228.7,+1.9,+1.2,+1.7,-0.7,.566,89.7,23.3,21.2,114.5,.434,88.8,25.0,20.5,114.1,+.132,+0.9,-1.7,+0.8,+0.4,-.029,+0.9,-2.3,+1.1,-2.1
Tony Brothers,NBA,64,179.6,48.5,41.1,234.7,+3.0,+1.4,+1.1,+5.3,.641,88.8,25.6,19.7,118.9,.359,90.8,22.8,21.5,115.8,+.281,-2.1,+2.8,-1.8,+3.1,+.120,-2.1,+2.2,-1.5,+0.6
Nick Buchert,NBA,61,174.2,48.0,40.4,229.0,-2.4,+0.9,+0.4,-0.4,.525,86.9,24.2,20.1,115.0,.475,87.4,23.9,20.3,114.0,+.049,-0.5,+0.3,-0.2,+1.0,-.112,-0.5,-0.3,+0.1,-1.5
John Butler,NBA,48,178.3,47.3,39.4,227.2,+1.7,+0.2,-0.6,-2.2,.563,90.1,23.0,19.7,114.9,.438,88.2,24.3,19.7,112.3,+.125,+1.9,-1.3,0.0,+2.6,-.036,+1.9,-1.9,+0.3,+0.1
James Capers,NBA,44,174.8,45.5,40.1,225.3,-1.8,-1.6,+0.1,-4.1,.568,87.2,23.5,20.3,113.3,.432,87.6,22.0,19.8,111.9,+.136,-0.5,+1.5,+0.5,+1.4,-.025,-0.5,+0.9,+0.8,-1.1
Derrick Collins,NBA,26,175.5,44.0,38.3,225.2,-1.1,-3.1,-1.7,-4.2,.615,87.0,23.3,18.8,113.4,.385,88.5,20.7,19.6,111.8,+.231,-1.5,+2.6,-0.8,+1.7,+.070,-1.5,+2.0,-0.5,-0.8
John Conley,NBA,36,174.8,47.9,41.1,230.8,-1.8,+0.8,+1.1,+1.4,.528,87.6,24.5,20.5,115.9,.472,87.2,23.4,20.6,114.8,+.056,+0.4,+1.1,-0.1,+1.1,-.105,+0.4,+0.5,+0.2,-1.4
Sean Corbin,NBA,53,175.2,49.4,41.3,235.7,-1.4,+2.3,+1.3,+6.3,.623,87.8,25.9,19.9,119.8,.377,87.5,23.5,21.4,115.9,+.245,+0.3,+2.3,-1.5,+4.0,+.084,+0.3,+1.7,-1.2,+1.5
Kevin Cutler,NBA,55,174.6,46.1,38.5,227.0,-2.0,-1.0,-1.5,-2.4,.582,87.5,23.4,18.9,114.5,.418,87.1,22.7,19.6,112.5,+.164,+0.3,+0.7,-0.6,+2.0,+.003,+0.3,+0.1,-0.3,-0.5
