Info,Info,Info,Per Game,Per Game,Per Game,Per Game,Per Game Relative,Per Game Relative,Per Game Relative,Per Game Relative,Home Teams,Home Teams,Home Teams,Home Teams,Home Teams,Visitor Teams,Visitor Teams,Visitor Teams,Visitor Teams,Visitor Teams,Home Minus Visitor,Home Minus Visitor,Home Minus Visitor,Home Minus Visitor,Home Minus Visitor,Relative to Average*,Relative to Average*,Relative to Average*,Relative to Average*,Relative to Average*
Nick Buchert,NBA,48,176.9,41.8,38.8,220.8,+0.1,-1.8,+0.2,-3.4,.583,87.4,21.8,19.4,111.4,.417,89.5,20.0,19.4,109.4,+.167,-2.0,+1.8,+0.1,+2.0,+.080,-1.4,+1.0,+0.4,+1.1
John Butler,NBA,39,176.5,46.7,39.4,225.1,-0.3,+3.1,+0.8,+0.9,.641,87.6,23.6,19.6,114.7,.359,88.9,23.1,19.8,110.4,+.282,-1.3,+0.5,-0.3,+4.3,+.195,-0.7,-0.3,0.0,+3.4
James Capers,NBA,52,178.8,41.1,37.5,223.5,+2.0,-2.5,-1.1,-0.7,.519,89.9,19.8,19.1,113.6,.481,88.9,21.2,18.4,109.9,+.038,+1.0,-1.4,+0.6,+3.7,-.049,+1.6,-2.2,+0.9,+2.8
Derrick Collins,NBA,50,176.6,43.0,37.9,225.7,-0.2,-0.6,-0.7,+1.5,.580,87.3,21.9,18.6,113.3,.420,89.3,21.1,19.3,112.4,+.160,-2.1,+0.8,-0.7,+1.0,+.073,-1.5,0.0,-0.4,+0.1
John Conley,NBA,25,179.0,43.8,38.8,220.0,+2.2,+0.2,+0.2,-4.2,.360,89.6,21.7,19.4,109.1,.640,89.4,22.1,19.4,110.9,-.280,+0.2,-0.4,-0.1,-1.8,-.367,+0.8,-1.2,+0.2,-2.7
Sean Corbin,NBA,47,176.9,42.2,37.5,226.3,+0.1,-1.4,-1.1,+2.1,.574,87.3,21.6,18.6,113.5,.426,89.6,20.6,18.9,112.9,+.149,-2.4,+1.1,-0.4,+0.6,+.062,-1.8,+0.3,-0.1,-0.3
Kevin Cutler,NBA,43,176.7,38.7,36.0,221.5,-0.1,-4.9,-2.6,-2.7,.605,89.0,19.5,17.9,113.7,.395,87.6,19.2,18.1,107.7,+.209,+1.4,+0.3,-0.2,+6.0,+.122,+2.0,-0.5,+0.1,+5.1
Mousa Dagher,NBA,42,175.6,42.1,37.7,224.7,-1.2,-1.5,-0.9,+0.5,.405,87.5,21.4,18.7,111.2,.595,88.1,20.7,19.0,113.5,-.190,-0.5,+0.7,-0.3,-2.2,-.277,+0.1,-0.1,0.0,-3.1
Eric Dalen,NBA,51,177.4,42.7,38.0,223.8,+0.6,-0.9,-0.6,-0.4,.569,87.7,22.0,18.8,112.9,.431,89.7,20.7,19.2,110.9,+.137,-1.9,+1.4,-0.4,+2.1,+.050,-1.3,+0.6,-0.1,+1.2
Marc Davis,NBA,56,177.4,41.6,35.2,223.3,+0.6,-2.0,-3.4,-0.9,.696,88.3,21.4,17.5,112.9,.304,89.1,20.2,17.7,110.5,+.393,-0.8,+1.2,-0.1,+2.4,+.306,-0.2,+0.4,+0.2,+1.5
JB DeRosa,NBA,51,179.8,44.4,39.5,229.3,+3.0,+0.8,+0.9,+5.1,.608,89.5,22.6,19.9,116.0,.392,90.4,21.8,19.5,113.3,+.216,-0.9,+0.8,+0.4,+2.8,+.129,-0.3,0.0,+0.7,+1.9
Mitchell Ervin,NBA,49,173.9,46.9,40.2,222.9,-2.9,+3.3,+1.6,-1.3,.551,87.2,23.0,20.3,112.0,.449,86.7,23.9,19.9,110.9,+.102,+0.5,-0.8,+0.4,+1.1,+.015,+1.1,-1.6,+0.7,+0.2
Kane Fitzgerald,NBA,41,177.0,46.1,40.2,225.9,+0.2,+2.5,+1.6,+1.7,.537,87.7,23.9,20.0,112.4,.463,89.2,22.3,20.2,113.5,+.073,-1.5,+1.6,-0.2,-1.1,-.014,-0.9,+0.8,+0.1,-2.0
Tyler Ford,NBA,45,174.1,44.7,39.7,225.1,-2.7,+1.1,+1.1,+0.9,.511,86.6,23.5,19.3,113.7,.489,87.5,21.2,20.4,111.4,+.022,-0.9,+2.2,-1.2,+2.4,-.065,-0.3,+1.4,-0.9,+1.5
Brian Forte,NBA,52,177.2,42.2,37.9,221.3,+0.4,-1.4,-0.7,-2.9,.481,88.6,21.3,18.7,110.7,.519,88.6,20.9,19.2,110.6,-.038,0.0,+0.3,-0.5,+0.1,-.125,+0.6,-0.5,-0.2,-0.8
Scott Foster,NBA,44,176.6,43.5,40.2,227.4,-0.2,-0.1,+1.6,+3.2,.568,87.4,22.2,20.4,115.6,.432,89.2,21.3,19.8,111.8,+.136,-1.8,+0.9,+0.6,+3.8,+.049,-1.2,+0.1,+0.9,+2.9
Pat Fraher,NBA,21,175.8,44.7,38.3,224.7,-1.0,+1.1,-0.3,+0.5,.667,88.5,23.0,19.1,115.2,.333,87.2,21.7,19.2,109.5,+.333,+1.3,+1.2,-0.1,+5.8,+.246,+1.9,+0.4,+0.2,+4.9
Jacyn Goble,NBA,45,175.8,47.9,40.2,224.8,-1.0,+4.3,+1.6,+0.6,.556,87.3,24.7,19.8,113.2,.444,88.5,23.2,20.4,111.6,+.111,-1.2,+1.6,-0.7,+1.6,+.024,-0.6,+0.8,-0.4,+0.7
John Goble,NBA,49,176.0,44.7,38.8,226.4,-0.8,+1.1,+0.2,+2.2,.571,87.4,22.7,19.2,113.8,.429,88.6,22.0,19.7,112.6,+.143,-1.2,+0.7,-0.5,+1.2,+.056,-0.6,-0.1,-0.2,+0.3
Jason Goldenberg,NBA,37,177.9,42.5,38.5,222.8,+1.1,-1.1,-0.1,-1.4,.730,89.0,21.6,18.6,113.5,.270,88.9,20.8,19.9,109.3,+.459,+0.2,+0.8,-1.2,+4.2,+.372,+0.8,0.0,-0.9,+3.3
Nate Green,NBA,44,177.7,40.4,36.7,223.5,+0.9,-3.2,-1.9,-0.7,.545,88.4,20.2,18.2,111.8,.455,89.3,20.2,18.4,111.8,+.091,-1.0,0.0,-0.2,0.0,+.004,-0.4,-0.8,+0.1,-0.9
David Guthrie,NBA,36,177.3,42.6,37.8,225.6,+0.5,-1.0,-0.8,+1.4,.583,88.4,22.4,18.6,113.6,.417,88.9,20.2,19.2,112.0,+.167,-0.6,+2.2,-0.5,+1.6,+.080,0.0,+1.4,-0.2,+0.7
Lauren Holtkamp,NBA,34,176.4,43.5,37.8,220.1,-0.4,-0.1,-0.8,-4.1,.471,88.3,21.1,18.9,109.3,.529,88.2,22.4,18.9,110.9,-.059,+0.1,-1.4,0.0,-1.6,-.146,+0.7,-2.2,+0.3,-2.5
Robert Hussey,NBA,22,173.7,42.0,38.0,218.7,-3.1,-1.6,-0.6,-5.5,.500,86.0,21.2,19.0,109.5,.500,87.7,20.8,19.0,109.3,.000,-1.6,+0.4,0.0,+0.2,-.087,-1.0,-0.4,+0.3,-0.7
Simone Jelks,NBA,33,175.4,45.8,40.3,223.7,-1.4,+2.2,+1.7,-0.5,.424,87.0,23.6,19.9,111.4,.576,88.4,22.2,20.3,112.4,-.152,-1.3,+1.3,-0.4,-1.0,-.239,-0.7,+0.5,-0.1,-1.9
Matt Kallio,NBA,18,176.1,42.2,37.0,218.5,-0.7,-1.4,-1.6,-5.7,.667,88.0,20.1,19.1,111.6,.333,88.1,22.1,17.9,106.9,+.333,-0.1,-1.9,+1.1,+4.7,+.246,+0.5,-2.7,+1.4,+3.8
Bill Kennedy,NBA,43,176.2,40.1,36.6,218.2,-0.6,-3.5,-2.0,-6.0,.581,87.0,21.5,18.0,110.0,.419,89.2,18.7,18.7,108.2,+.163,-2.1,+2.8,-0.7,+1.7,+.076,-1.5,+2.0,-0.4,+0.8
Courtney Kirkland,NBA,45,175.4,41.9,37.7,214.2,-1.4,-1.7,-0.9,-10.0,.578,87.6,21.6,18.8,108.7,.422,87.9,20.3,18.9,105.5,+.156,-0.3,+1.3,-0.2,+3.2,+.069,+0.3,+0.5,+0.1,+2.3
Marat Kogut,NBA,48,177.3,44.5,40.3,225.1,+0.5,+0.9,+1.7,+0.9,.417,87.2,22.8,19.3,110.8,.583,90.1,21.7,21.0,114.3,-.167,-2.9,+1.1,-1.6,-3.5,-.254,-2.3,+0.3,-1.3,-4.4
Karl Lane,NBA,52,177.5,42.3,38.0,225.1,+0.7,-1.3,-0.6,+0.9,.635,89.6,20.8,19.2,114.1,.365,87.9,21.5,18.9,111.0,+.269,+1.7,-0.8,+0.3,+3.0,+.182,+2.3,-1.6,+0.6,+2.1
Eric Lewis,NBA,50,174.8,44.5,38.5,226.6,-2.0,+0.9,-0.1,+2.4,.660,86.8,22.8,18.7,114.7,.340,87.9,21.6,19.7,111.9,+.320,-1.1,+1.2,-1.0,+2.8,+.233,-0.5,+0.4,-0.7,+1.9
Mark Lindsay,NBA,30,176.9,44.6,38.6,223.4,+0.1,+1.0,0.0,-0.8,.433,88.1,21.2,20.3,111.1,.567,88.8,23.3,18.3,112.3,-.133,-0.7,-2.1,+2.0,-1.2,-.220,-0.1,-2.9,+2.3,-2.1
Tre Maddox,NBA,36,177.7,45.4,39.0,222.9,+0.9,+1.8,+0.4,-1.3,.556,88.3,22.3,19.4,112.1,.444,89.4,23.1,19.6,110.8,+.111,-1.2,-0.8,-0.2,+1.3,+.024,-0.6,-1.6,+0.1,+0.4
Ed Malloy,NBA,44,178.5,42.9,38.7,227.0,+1.7,-0.7,+0.1,+2.8,.455,89.5,21.7,19.0,112.8,.545,89.0,21.2,19.7,114.1,-.091,+0.6,+0.5,-0.7,-1.3,-.178,+1.2,-0.3,-0.4,-2.2
Ken Mauer,NBA,47,176.5,45.1,38.5,223.5,-0.3,+1.5,-0.1,-0.7,.596,87.7,22.7,18.9,112.3,.404,88.8,22.4,19.6,111.3,+.191,-1.1,+0.2,-0.7,+1.0,+.104,-0.5,-0.6,-0.4,+0.1
Suyash Mehta,NBA,31,177.3,48.3,39.9,231.5,+0.5,+4.7,+1.3,+7.3,.452,88.4,23.8,20.2,114.0,.548,88.9,24.5,19.7,117.5,-.097,-0.5,-0.7,+0.5,-3.5,-.184,+0.1,-1.5,+0.8,-4.4
Dannica Mosher,NBA,22,175.5,40.7,36.0,216.6,-1.3,-2.9,-2.6,-7.6,.545,88.5,22.0,16.9,110.0,.455,87.0,18.7,19.1,106.6,+.091,+1.5,+3.3,-2.2,+3.4,+.004,+2.1,+2.5,-1.9,+2.5
Rodney Mott,NBA,48,178.4,45.3,39.6,225.5,+1.6,+1.7,+1.0,+1.3,.542,90.3,22.2,20.3,114.1,.458,88.1,23.0,19.3,111.4,+.083,+2.2,-0.8,+1.0,+2.7,-.004,+2.8,-1.6,+1.3,+1.8
Ashley Moyer-Gleich,NBA,45,178.5,44.0,38.4,224.2,+1.7,+0.4,-0.2,0.0,.489,89.8,22.1,19.7,112.7,.511,88.8,21.9,18.6,111.5,-.022,+1.0,+0.1,+1.1,+1.2,-.109,+1.6,-0.7,+1.4,+0.3
Matt Myers,NBA,32,177.5,46.8,40.9,222.8,+0.7,+3.2,+2.3,-1.4,.563,87.9,23.3,20.6,112.0,.438,89.6,23.5,20.3,110.9,+.125,-1.7,-0.1,+0.3,+1.1,+.038,-1.1,-0.9,+0.6,+0.2
Andy Nagy,NBA,40,178.1,43.3,38.0,223.7,+1.3,-0.3,-0.6,-0.5,.300,89.0,22.6,18.9,108.8,.700,89.1,20.7,19.1,114.8,-.400,-0.2,+1.9,-0.2,-6.0,-.487,+0.4,+1.1,+0.1,-6.9
Brett Nansel,NBA,39,179.3,46.1,39.5,228.5,+2.5,+2.5,+0.9,+4.3,.564,89.6,22.9,19.8,114.5,.436,89.7,23.2,19.7,114.0,+.128,-0.1,-0.3,+0.1,+0.4,+.041,+0.5,-1.1,+0.4,-0.5
J.T. Orr,NBA,2,183.5,46.5,40.5,223.5,+6.7,+2.9,+1.9,-0.7,1.000,93.0,21.5,21.0,122.0,.000,90.5,25.0,19.5,101.5,+1.000,+2.5,-3.5,+1.5,+20.5,+.913,+3.1,-4.3,+1.8,+19.6
Gediminas Petraitis,NBA,52,177.2,46.4,40.4,227.0,+0.4,+2.8,+1.8,+2.8,.462,89.1,24.0,20.0,113.0,.538,88.1,22.3,20.4,114.1,-.077,+1.0,+1.7,-0.4,-1.1,-.164,+1.6,+0.9,-0.1,-2.0
Phenizee Ransom,NBA,39,178.4,43.6,38.8,225.7,+1.6,0.0,+0.2,+1.5,.590,89.5,21.7,19.4,113.4,.410,88.9,21.9,19.4,112.3,+.179,+0.6,-0.2,0.0,+1.1,+.092,+1.2,-1.0,+0.3,+0.2
Derek Richardson,NBA,43,175.7,42.2,38.7,223.6,-1.1,-1.4,+0.1,-0.6,.674,87.2,22.7,18.7,113.9,.326,88.5,19.5,20.0,109.7,+.349,-1.3,+3.2,-1.3,+4.2,+.262,-0.7,+2.4,-1.0,+3.3
Leroy Richardson,NBA,39,177.3,45.4,40.0,226.7,+0.5,+1.8,+1.4,+2.5,.564,87.8,23.8,19.1,115.0,.436,89.5,21.6,20.9,111.7,+.128,-1.7,+2.2,-1.9,+3.3,+.041,-1.1,+1.4,-1.6,+2.4
Natalie Sago,NBA,45,175.2,43.9,38.8,223.4,-1.6,+0.3,+0.2,-0.8,.556,87.0,22.4,19.2,113.0,.444,88.2,21.6,19.6,110.4,+.111,-1.2,+0.8,-0.4,+2.6,+.024,-0.6,0.0,-0.1,+1.7
Jenna Schroeder,NBA,38,177.2,40.1,37.2,222.6,+0.4,-3.5,-1.4,-1.6,.395,88.7,20.7,18.5,110.4,.605,88.4,19.3,18.7,112.2,-.211,+0.3,+1.4,-0.2,-1.8,-.298,+0.9,+0.6,+0.1,-2.7
Brandon Schwab,NBA,20,176.0,45.2,39.4,223.1,-0.8,+1.6,+0.8,-1.1,.550,89.1,22.4,19.9,112.8,.450,86.9,22.8,19.6,110.3,+.100,+2.2,-0.4,+0.3,+2.5,+.013,+2.8,-1.2,+0.6,+1.6
Danielle Scott,NBA,26,180.0,39.0,36.5,227.1,+3.2,-4.6,-2.1,+2.9,.423,87.5,20.7,18.2,112.3,.577,92.5,18.2,18.3,114.8,-.154,-5.0,+2.5,-0.1,-2.5,-.241,-4.4,+1.7,+0.2,-3.4
Evan Scott,NBA,36,177.8,47.2,38.7,228.6,+1.0,+3.6,+0.1,+4.4,.583,88.1,23.9,19.6,115.4,.417,89.7,23.3,19.1,113.2,+.167,-1.6,+0.6,+0.5,+2.2,+.080,-1.0,-0.2,+0.8,+1.3
Kevin Scott,NBA,47,179.9,42.2,38.3,225.3,+3.1,-1.4,-0.3,+1.1,.489,89.2,22.2,19.0,112.7,.511,90.7,20.1,19.3,112.6,-.021,-1.5,+2.1,-0.3,0.0,-.108,-0.9,+1.3,0.0,-0.9
Aaron Smith,NBA,54,177.4,43.8,37.0,223.3,+0.6,+0.2,-1.6,-0.9,.593,89.1,22.2,18.5,111.8,.407,88.3,21.6,18.5,111.5,+.185,+0.9,+0.7,0.0,+0.3,+.098,+1.5,-0.1,+0.3,-0.6
Michael Smith,NBA,46,178.2,43.4,38.1,226.6,+1.4,-0.2,-0.5,+2.4,.609,88.0,22.8,18.7,114.8,.391,90.2,20.6,19.4,111.8,+.217,-2.2,+2.1,-0.7,+3.1,+.130,-1.6,+1.3,-0.4,+2.2
Bill Spooner,NBA,3,182.7,48.7,39.7,236.3,+5.9,+5.1,+1.1,+12.1,.667,93.7,24.0,18.7,117.3,.333,89.0,24.7,21.0,119.0,+.333,+4.7,-0.7,-2.3,-1.7,+.246,+5.3,-1.5,-2.0,-2.6
Jonathan Sterling,NBA,44,175.0,42.4,39.3,223.6,-1.8,-1.2,+0.7,-0.6,.659,87.0,22.1,19.0,113.5,.341,88.1,20.3,20.3,110.1,+.318,-1.1,+1.8,-1.3,+3.3,+.231,-0.5,+1.0,-1.0,+2.4
Ben Taylor,NBA,49,173.2,46.5,40.2,222.0,-3.6,+2.9,+1.6,-2.2,.531,87.9,22.6,20.3,110.9,.469,85.3,23.9,19.9,111.1,+.061,+2.6,-1.3,+0.3,-0.2,-.026,+3.2,-2.1,+0.6,-1.1
Dedric Taylor,NBA,54,178.7,47.7,39.4,231.6,+1.9,+4.1,+0.8,+7.4,.463,88.9,24.5,19.4,115.3,.537,89.8,23.2,20.0,116.4,-.074,-1.0,+1.2,-0.6,-1.1,-.161,-0.4,+0.4,-0.3,-2.0
Josh Tiven,NBA,54,176.3,43.8,38.4,225.4,-0.5,+0.2,-0.2,+1.2,.500,87.6,22.7,18.6,112.7,.500,88.7,21.1,19.8,112.7,.000,-1.1,+1.6,-1.2,0.0,-.087,-0.5,+0.8,-0.9,-0.9
Scott Twardoski,NBA,46,175.5,44.6,39.9,219.5,-1.3,+1.0,+1.3,-4.7,.587,87.2,22.7,19.5,110.8,.413,88.3,22.0,20.4,108.7,+.174,-1.1,+0.7,-0.9,+2.1,+.087,-0.5,-0.1,-0.6,+1.2
Justin Van Duyne,NBA,50,174.1,41.3,38.1,222.4,-2.7,-2.3,-0.5,-1.8,.640,87.0,21.2,18.5,112.5,.360,87.1,20.1,19.7,109.9,+.280,0.0,+1.1,-1.2,+2.6,+.193,+0.6,+0.3,-0.9,+1.7
Scott Wall,NBA,45,179.2,43.2,38.7,228.7,+2.4,-0.4,+0.1,+4.5,.578,89.6,21.8,19.1,114.2,.422,89.6,21.4,19.6,114.5,+.156,-0.1,+0.5,-0.5,-0.3,+.069,+0.5,-0.3,-0.2,-1.2
CJ Washington,NBA,38,176.8,47.3,39.8,226.2,0.0,+3.7,+1.2,+2.0,.553,88.4,23.7,19.7,113.8,.447,88.4,23.6,20.1,112.3,+.105,0.0,+0.2,-0.3,+1.5,+.018,+0.6,-0.6,0.0,+0.6
Tom Washington,NBA,34,177.0,43.7,38.5,226.0,+0.2,+0.1,-0.1,+1.8,.559,88.5,23.5,18.9,113.6,.441,88.5,20.3,19.6,112.4,+.118,0.0,+3.2,-0.7,+1.3,+.031,+0.6,+2.4,-0.4,+0.4
James Williams,NBA,46,177.8,45.8,39.6,225.6,+1.0,+2.2,+1.0,+1.4,.413,88.6,22.3,19.8,112.3,.587,89.2,23.4,19.8,113.3,-.174,-0.5,-1.1,-0.1,-1.0,-.261,+0.1,-1.9,+0.2,-1.9
Leon Wood,NBA,43,177.6,41.0,37.3,224.2,+0.8,-2.6,-1.3,0.0,.488,88.7,21.1,18.0,111.7,.512,88.9,19.8,19.2,112.6,-.023,-0.3,+1.3,-1.2,-0.9,-.110,+0.3,+0.5,-0.9,-1.8
Haywoode Workman,NBA,39,178.4,45.1,39.8,226.1,+1.6,+1.5,+1.2,+1.9,.538,89.3,21.0,20.6,112.9,.462,89.2,24.1,19.2,113.2,+.077,+0.1,-3.1,+1.3,-0.3,-.010,+0.7,-3.9,+1.6,-1.2
Sean Wright,NBA,46,176.8,44.3,40.2,227.6,0.0,+0.7,+1.6,+3.4,.630,89.7,21.6,20.0,116.0,.370,87.1,22.7,20.2,111.6,+.261,+2.5,-1.2,-0.3,+4.4,+.174,+3.1,-2.0,0.0,+3.5
Zach Zarba,NBA,53,175.8,43.1,38.0,223.7,-1.0,-0.5,-0.6,-0.5,.566,87.4,21.8,18.9,112.5,.434,88.4,21.3,19.1,111.2,+.132,-1.0,+0.5,-0.2,+1.3,+.045,-0.4,-0.3,+0.1,+0.4
