Info,Info,Info,Per Game,Per Game,Per Game,Per Game,Per Game Relative,Per Game Relative,Per Game Relative,Per Game Relative,Home Teams,Home Teams,Home Teams,Home Teams,Home Teams,Visitor Teams,Visitor Teams,Visitor Teams,Visitor Teams,Visitor Teams,Home Minus Visitor,Home Minus Visitor,Home Minus Visitor,Home Minus Visitor,Home Minus Visitor,Relative to Average*,Relative to Average*,Relative to Average*,Relative to Average*,Relative to Average*
Referee,Lg,G,FGA,FTA,PF,PTS,FGA,FTA,PF,PTS,W/L%,FGA,FTA,PF,PTS,W/L%,FGA,FTA,PF,PTS,W/L%,FGA,FTA,PF,PTS,W/L%,FGA,FTA,PF,PTS
Ray Acosta,NBA,40,174.2,41.8,37.5,219.8,-2.6,-1.8,-1.1,-4.4,.625,88.1,20.7,19.0,111.9,.375,86.1,21.1,18.5,107.9,+.250,+1.9,-0.5,+0.5,+4.0,+.163,+2.5,-1.3,+0.8,+3.1
Brandon Adair,NBA,43,177.3,41.7,37.2,221.7,+0.5,-1.9,-1.4,-2.5,.488,86.9,21.9,18.5,109.1,.512,90.3,19.9,18.7,112.6,-.023,-3.4,+2.0,-0.2,-3.4,-.110,-2.8,+1.2,+0.1,-4.3
Bennie Adams,NBA,23,176.9,40.8,36.8,217.8,+0.1,-2.8,-1.8,-6.4,.391,87.3,22.0,17.3,106.4,.609,89.6,18.8,19.4,111.4,-.217,-2.3,+3.3,-2.1,-5.0,-.304,-1.7,+2.5,-1.8,-5.9
Mark Ayotte,NBA,50,177.3,43.6,38.8,224.5,+0.5,0.0,+0.2,+0.3,.620,87.3,23.1,18.6,113.5,.380,90.0,20.6,20.2,111.0,+.240,-2.7,+2.5,-1.6,+2.4,+.153,-2.1,+1.7,-1.3,+1.5
Brent Barnaky,NBA,45,175.6,42.9,38.3,222.6,-1.2,-0.7,-0.3,-1.6,.422,86.3,22.5,18.7,110.0,.578,89.2,20.4,19.6,112.6,-.156,-2.9,+2.1,-0.9,-2.7,-.243,-2.3,+1.3,-0.6,-3.6
Curtis Blair,NBA,53,176.9,42.1,37.8,222.3,+0.1,-1.5,-0.8,-1.9,.472,87.4,22.4,18.9,109.9,.528,89.5,19.7,18.8,112.4,-.057,-2.1,+2.7,+0.1,-2.5,-.144,-1.5,+1.9,+0.4,-3.4
Matt Boland,NBA,42,178.3,40.7,36.6,221.8,+1.5,-2.9,-2.0,-2.4,.548,88.7,21.0,18.3,112.0,.452,89.6,19.7,18.3,109.8,+.095,-0.8,+1.3,0.0,+2.2,+.008,-0.2,+0.5,+0.3,+1.3
Tony Brothers,NBA,47,173.4,44.7,39.5,220.5,-3.4,+1.1,+0.9,-3.7,.489,86.3,22.6,19.2,109.5,.511,87.1,22.1,20.3,111.0,-.021,-0.8,+0.5,-1.1,-1.5,-.108,-0.2,-0.3,-0.8,-2.4
Tony Brown,NBA,39,174.8,45.3,41.7,227.2,-2.0,+1.7,+3.1,+3.0,.487,86.7,23.6,20.4,113.4,.513,88.1,21.7,21.3,113.8,-.026,-1.4,+2.0,-0.9,-0.4,-.113,-0.8,+1.2,-0.6,-1.3
