Date,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
19-Nov-24,NOP,91,DAL,132,W,-13,W,222.5,O
17-Nov-24,DAL,121,OKC,119,W,-7.5,W,226,O
16-Nov-24,SAN,93,DAL,110,W,-13.5,W,229,U
14-Nov-24,DAL,113,UTA,115,L,7.5,L,230,U
12-Nov-24,DAL,117,GS,120,L,-2.5,L,235,O
10-Nov-24,DAL,120,DEN,122,L,-2,P,233,O
6-Nov-24,CHI,99,DAL,119,W,-10,W,237,U
4-Nov-24,IND,134,DAL,127,L,-4.5,L,236.5,O
3-Nov-24,ORL,85,DAL,108,W,-6.5,W,220,U
27-Nov-24,DEN,122,UTA,103,W,10.5,W,228.5,U
25-Nov-24,NY,145,DEN,118,L,-2,L,233.5,O
23-Nov-24,DEN,127,LAL,102,W,-4,W,236,U
22-Nov-24,DAL,123,DEN,120,L,-4.5,L,229,O
19-Nov-24,DEN,122,MEM,110,W,-6,W,223.5,O
17-Nov-24,DEN,90,MEM,105,L,-6,L,228.5,U
15-Nov-24,DEN,94,NOP,101,L,2,L,217.5,U
10-Nov-24,DAL,120,DEN,122,W,-2,P,233,O
6-Nov-24,OKC,122,DEN,124,W,7,W,224.5,O
4-Nov-24,TOR,119,DEN,121,W,-11,L,231.5,O
2-Nov-24,UTA,103,DEN,129,W,-11,W,220.5,O
1-Nov-24,DEN,116,MIN,119,L,-3.5,W,219,O
29-Oct-24,DEN,144,BKN,139,W,5.5,L,218.5,O
28-Oct-24,DEN,127,TOR,125,W,8.5,L,223.5,O
26-Oct-24,LAC,109,DEN,104,L,-7.5,L,218,U
24-Oct-24,OKC,102,DEN,87,L,-2,L,228.5,U
30-Oct-24,DET,105,PHI,95,W,-4,W,219.5,U
28-Oct-24,DET,98,MIA,106,L,-8.5,W,219.5,U
26-Oct-24,BOS,124,DET,118,L,12.5,W,224.5,O
25-Oct-24,DET,101,CLE,113,L,-10.5,L,224.5,U
23-Oct-24,IND,115,DET,109,L,5.5,L,235.5,U
