Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU,GameID
4-Nov-24,CHR,93,MIN,114,L,-10.5,L,225.5,U,4-Nov-24_CHR_MIN
30-Oct-24,TOR,133,CHR,138,W,-6.5,L,224.5,O,30-Oct-24_CHR_TOR
26-Oct-24,MIA,114,CHR,106,L,6.0,L,222.5,U,26-Oct-24_CHR_MIA
23-Oct-24,CHR,110,HOU,105,W,-8.5,W,230.0,U,23-Oct-24_CHR_HOU
30-Oct-24,ORL,99,CHI,102,W,5.5,W,227.5,U,30-Oct-24_CHI_ORL
28-Oct-24,CHI,126,MEM,123,W,-5.0,W,231.5,O,28-Oct-24_CHI_MEM
26-Oct-24,OKC,114,CHI,95,L,9.5,L,231.5,U,26-Oct-24_CHI_OKC
25-Oct-24,CHI,133,MIL,122,W,-9.5,W,234.5,O,25-Oct-24_CHI_MIL
23-Oct-24,CHI,111,NOP,123,L,-5.0,L,225.5,O,23-Oct-24_CHI_NOP
27-Nov-24,CHI,119,ORL,133,L,-9.5,L,224.5,O,27-Nov-24_CHI_ORL
26-Nov-24,CHI,127,WAS,108,W,5.5,W,244.5,U,26-Nov-24_CHI_WAS
23-Nov-24,MEM,142,CHI,131,L,4.5,L,244.0,O,23-Nov-24_CHI_MEM
20-Nov-24,CHI,106,MIL,122,L,-8.5,L,239.5,U,20-Nov-24_CHI_MIL
18-Nov-24,CHI,122,DET,112,W,-4.0,W,234.5,U,18-Nov-24_CHI_DET
17-Nov-24,HOU,143,CHI,107,L,4.5,L,234.0,O,17-Nov-24_CHI_HOU
15-Nov-24,CHI,126,CLE,144,L,-9.5,L,238.5,O,15-Nov-24_CHI_CLE
13-Nov-24,CHI,124,NY,123,W,-8.5,W,232.5,O,13-Nov-24_CHI_NY
11-Nov-24,CLE,119,CHI,113,L,8.5,W,237.0,U,11-Nov-24_CHI_CLE
7-Nov-24,MIN,135,CHI,119,L,9.5,L,226.5,O,7-Nov-24_CHI_MIN
6-Nov-24,CHI,99,DAL,119,L,-10.0,L,237.0,U,6-Nov-24_CHI_DAL
4-Nov-24,UTA,135,CHI,126,L,-7.5,L,229.5,O,4-Nov-24_CHI_UTA
24-Nov-24,TOR,108,CLE,122,W,-11.5,W,233.5,U,24-Nov-24_CLE_TOR
20-Nov-24,NOP,100,CLE,128,W,-14.5,W,217.5,O,20-Nov-24_CLE_NOP
13-Nov-24,CLE,114,PHI,106,W,11.5,L,218.5,O,13-Nov-24_CLE_PHI
6-Nov-24,CLE,131,NOP,122,W,6.5,W,225.0,O,6-Nov-24_CLE_NOP
4-Nov-24,MIL,114,CLE,116,W,-8.5,L,228.5,O,4-Nov-24_CLE_MIL
2-Nov-24,CLE,114,MIL,113,W,-2.0,W,230.5,U,2-Nov-24_CLE_MIL
1-Nov-24,ORL,109,CLE,120,W,-7.0,W,216.5,O,1-Nov-24_CLE_ORL
30-Oct-24,LAL,110,CLE,134,W,-4.0,W,226.5,O,30-Oct-24_CLE_LAL
28-Oct-24,CLE,110,NY,104,W,-3.0,W,222.5,U,28-Oct-24_CLE_NY
26-Oct-24,CLE,135,WAS,116,W,9.5,W,227.5,O,26-Oct-24_CLE_WAS
25-Oct-24,DET,101,CLE,113,W,-10.5,W,224.5,U,25-Oct-24_CLE_DET
23-Oct-24,CLE,136,TOR,106,W,6.5,W,225.0,O,23-Oct-24_CLE_TOR
31-Oct-24,HOU,108,DAL,102,L,-6.5,L,226.0,U,31-Oct-24_DAL_HOU
29-Oct-24,DAL,120,MIN,114,W,-4.5,W,220.5,O,29-Oct-24_DAL_MIN
28-Oct-24,UTA,102,DAL,110,W,-11.5,L,232.0,U,28-Oct-24_DAL_UTA
26-Oct-24,DAL,102,PHO,114,L,3.5,L,229.5,U,26-Oct-24_DAL_PHO
24-Oct-24,SAN,109,DAL,120,W,-8.5,W,227.0,O,24-Oct-24_DAL_SAN
30-Nov-24,DAL,106,UTA,94,W,6.5,W,229.5,U,30-Nov-24_DAL_UTA
27-Nov-24,NY,114,DAL,129,W,4.5,W,232.0,O,27-Nov-24_DAL_NY
24-Nov-24,DAL,118,MIA,123,L,-3.0,L,221.5,O,24-Nov-24_DAL_MIA
22-Nov-24,DAL,123,DEN,120,W,-4.5,W,229.0,O,22-Nov-24_DAL_DEN
19-Nov-24,NOP,91,DAL,132,W,-13.0,W,222.5,O,19-Nov-24_DAL_NOP
17-Nov-24,DAL,121,OKC,119,W,-7.5,W,226.0,O,17-Nov-24_DAL_OKC
16-Nov-24,SAN,93,DAL,110,W,-13.5,W,229.0,U,16-Nov-24_DAL_SAN
14-Nov-24,DAL,113,UTA,115,L,7.5,L,230.0,U,14-Nov-24_DAL_UTA
12-Nov-24,DAL,117,GS,120,L,-2.5,L,235.0,O,12-Nov-24_DAL_GS
10-Nov-24,DAL,120,DEN,122,L,-2.0,P,233.0,O,10-Nov-24_DAL_DEN
4-Nov-24,IND,134,DAL,127,L,-4.5,L,236.5,O,4-Nov-24_DAL_IND
